recipe_id,recipe_name,servings,prep_time,difficulty_level,seasonality,ingredient_name,quantity,unit,necessity_level,substitution
1,شاكرية,4,متوسط,متوسط,مدار السنة,لحم مقطع,1000,غرام,إلزامي,شرحات دجاج
1,شاكرية,4,متوسط,متوسط,مدار السنة,لبن,1500,غرام,إلزامي,
1,شاكرية,4,متوسط,متوسط,مدار السنة,نشاء الذرة,24,غرام,إلزامي,
1,شاكرية,4,متوسط,متوسط,مدار السنة,بيض,1,حبة,اختياري,
1,شاكرية,4,متوسط,متوسط,مدار السنة,بصل,150,غرام,اختياري,
1,شاكرية,4,متوسط,متوسط,مدار السنة,رز,400,غرام,إلزامي,برغل
1,شاكرية,4,متوسط,متوسط,مدار السنة,شعيرية,50,غرام,إلزامي,
2,ملوخية,4,متوسط,متوسط,الصيف,ملوخية,500,غرام,إلزامي,
2,ملوخية,4,متوسط,متوسط,الصيف,دجاج,1000,غرام,اختياري,لحم مقطع
2,ملوخية,4,متوسط,متوسط,الصيف,ثوم,40,غرام,اختياري,
2,ملوخية,4,متوسط,متوسط,الصيف,كزبرة خضرا,50,غرام,اختياري,
2,ملوخية,4,متوسط,متوسط,الصيف,ليمون,100,غرام,اختياري,
3,فريكة,4,طويل,متوسط,الربيع,فريكة,400,غرام,إلزامي,
3,فريكة,4,طويل,متوسط,الربيع,دجاج,1000,غرام,اختياري,لحم مقطع
3,فريكة,4,طويل,متوسط,الربيع,مكسرات,50,غرام,اختياري,
3,فريكة,4,طويل,متوسط,الربيع,بزاليا,75,غرام,إلزامي,
4,كبسة,4,متوسط,متوسط,مدار السنة,رز طويل الحبة,600,غرام,إلزامي,
4,كبسة,4,متوسط,متوسط,مدار السنة,دجاج,1200,غرام,اختياري,لحم مقطع
4,كبسة,4,متوسط,متوسط,مدار السنة,بهارات,16,غرام,إلزامي,
4,كبسة,4,متوسط,متوسط,مدار السنة,بصل,150,غرام,إلزامي,
4,كبسة,4,متوسط,متوسط,مدار السنة,بندورة,200,غرام,اختياري,
4,كبسة,4,متوسط,متوسط,مدار السنة,فليفلة خضرا,150,غرام,إلزامي,
4,كبسة,4,متوسط,متوسط,مدار السنة,جزر,100,غرام,اختياري,
4,كبسة,4,متوسط,متوسط,مدار السنة,مكسرات,50,غرام,اختياري,
5,مندي,4,متوسط,متوسط,مدار السنة,رز طويل الحبة,600,غرام,إلزامي,
5,مندي,4,متوسط,متوسط,مدار السنة,دجاج,1200,غرام,اختياري,لحم مقطع
5,مندي,4,متوسط,متوسط,مدار السنة,بهارات,16,غرام,إلزامي,
5,مندي,4,متوسط,متوسط,مدار السنة,بصل,150,غرام,اختياري,
5,مندي,4,متوسط,متوسط,مدار السنة,مكسرات,50,غرام,اختياري,
6,دجاج مكسيكي,4,قليل,مبتدئ,مدار السنة,شرحات دجاج,1000,غرام,إلزامي,
