ingredient_id,name,protein,carbohydrates,fiber,price
1,لحم مقطع,0.17,0,0,180
2,لحم مفروم,0.165,0,0,175
3,لحم ناعم,0.175,0,0,180
4,شرحات لحم,0.175,0,0,190
5,سودة غنم,0.19,0,0,140
6,دهنة,0,0,0,120
7,دجاج,0.22,0,0,60
8,شحمة,0,0,0,120
9,شرحات دجاج,0.23,0,0,60
10,جوانح,0.19,0,0,27
11,سودة دجاج,0.2,0,0,35
12,سمك,0.2,0,0,55
13,شعيرية,0.1,0.77,0.02,12
14,رز,0.07,0.79,0.01,10
15,رز طويل الحبة,0.07,0.78,0.01,17
16,برغل ناعم,0.12,0.72,0.1,10
17,برغل,0.12,0.7,0.11,10
18,فريكة,0.13,0.68,0.08,30
19,معكرونة,0.12,0.74,0.03,15
20,عجينة,0.09,0.52,0.02,12
21,عدس أحمر,0.25,0.61,0.11,15
22,عدس أسود,0.25,0.59,0.13,15
23,حمص,0.2,0.61,0.16,20
24,لبن,0.035,0.05,0,9
25,لبن غنم,0.055,0.05,0,20
26,جبنة,0.16,0.015,0,75
27,جبنة قشقوان,0.25,0.015,0,85
28,مسبحة,0.08,0.15,0.07,30
29,بصل,0.01,0.09,0.02,6
30,بندورة,0.01,0.04,0.01,9
31,ثوم,0.06,0.33,0.02,15
32,فليفلة خضرا,0.01,0.06,0.02,9
33,فليفلة ملونة,0.01,0.06,0.02,15
34,بطاطا,0.02,0.17,0.02,6
35,جزر,0.01,0.1,0.03,10
36,كوسا,0.01,0.03,0.01,10
37,بيتنجان,0.01,0.06,0.03,7
38,زهرة,0.03,0.05,0.02,5
39,بروكلي,0.03,0.07,0.03,12
40,ملفوف,0.02,0.06,0.03,6
41,سبانخ,0.03,0.04,0.02,20
42,سلق,0.02,0.04,0.02,30
43,خبيزة,0.03,0.05,0.03,20
44,ورق عنب,0.03,0.12,0.04,50
45,ملوخية,0.03,0.06,0.03,20
46,بامية,0.02,0.07,0.03,15
47,فول أخضر,0.08,0.14,0.05,15
48,فاصوليا خضرا,0.02,0.07,0.03,40
49,فاصوليا كلاوي,0.08,0.12,0.05,15
50,لوبية,0.09,0.13,0.05,6
51,لفت,0.01,0.05,0.02,5
52,أنغينار,0.033,0.105,0.054,30
53,فطر,0.062,0.066,0.02,50
54,كمأة,0.18,0.14,0.1,250
55,يقطين,0.02,0.13,0.01,5
56,براصيا,0.03,0.282,0.036,5
57,كروم,0.026,0.116,0.05,7
58,بزاليا,0.108,0.29,0.108,8
59,بقدونس,0.06,0.126,0.066,30
60,كزبرة خضرا,0.042,0.074,0.056,30
61,نعنع,0.074,0.316,0.164,30
62,خس,0.028,0.058,0.026,2
63,ليمون,0.022,0.186,0.056,10
64,برتقال,0.019,0.236,0.048,10
65,رمان,0.034,0.374,0.08,7
66,زيت نباتي,0,0,0,18
67,زيت زيتون,0,0,0,35
68,سمنة,0,0,0,30
69,مكسرات,0.4,0.432,0.14,150
70,معجون بندورة,0.086,0.38,0.092,15
71,معجون فليفلة,0.06,0.34,0.14,20
72,دبس رمان,0,1.34,0,35
73,مخلل خيار,0.012,0.072,0.024,15
74,مايونيز,0.02,0.012,0,40
75,طحينة,0.34,0.424,0.188,50
76,طحين,0.206,1.524,0.054,8
77,فانيليا,0,1.96,0,30
78,كعك ناعم,0.26,1.44,0.094,30
79,رقائق عجين,0.14,0.98,0.04,50
80,كزبرة يابسة,0.25,1.1,0.84,50
81,بهارات,0.2,1,0.74,75
82,خل,0,0.034,0,80
83,بيض,6,0.4,0,1000
84,ذرة,0.068,0.38,0.054,5
85,خبز,0.18,0.982,0.054,4
86,نشاء الذرة,0.006,1.828,0.018,20
87,خبز سمون,0.18,1.02,0.054,10
88,كربونة,0,0,0,30
89,حليب,0.066,0.096,0,11
90,تمر هندي,0.056,1.256,0.108,45
91,حصرم,0.012,0.36,0.02,20
92,زيتون,0.02,0.12,0.054,15
93,صلصة حارة,0.018,0.11,0.028,50
94,حمض الليمون,0,0,0,30
95,كريمة طبخ,0.04,0.06,0,30
96,كشكة,0.16,0.6,0.02,52
97,تونة,0.26,0,0,90
98,كاجو,0.18,0.3,0.03,200
